CO2,amp,Website
2.9479445880152917,non-AMP,Website Carbon
2.5893897855798254,non-AMP,Website Carbon
1.9100375820938245,non-AMP,Website Carbon
1.4646236892447289,non-AMP,Website Carbon
2.5272258634655684,non-AMP,Website Carbon
1.7984115265134102,non-AMP,Website Carbon
2.6112225351912137,non-AMP,Website Carbon
2.1041374890384303,non-AMP,Website Carbon
2.4883195182418563,non-AMP,Website Carbon
2.178183198587201,non-AMP,Website Carbon
2.353286584095974,non-AMP,Website Carbon
2.00525001036041,non-AMP,Website Carbon
2.8929352469529177,non-AMP,Website Carbon
2.06345604635181,non-AMP,Website Carbon
2.2009946817223507,non-AMP,Website Carbon
1.5649452091168763,AMP,EcoGrader
0.5956722816572662,AMP,EcoGrader
0.6188545004542799,AMP,EcoGrader
1.2908190124474033,AMP,EcoGrader
0.6480629784657521,AMP,EcoGrader
1.5830863556947876,AMP,EcoGrader
0.8759143057720757,AMP,EcoGrader
0.7757635565677727,AMP,EcoGrader
1.5768826079441154,AMP,EcoGrader
1.4441544374303272,AMP,EcoGrader
1.560267688127971,AMP,EcoGrader
1.2718133974826156,AMP,EcoGrader
0.7416322944835892,AMP,EcoGrader
1.5730194859297102,AMP,EcoGrader
0.9195989887145859,AMP,EcoGrader
1.2407369187389186,AMP,EcoGrader
1.2841755903321244,AMP,EcoGrader
0.9534969720727497,AMP,EcoGrader
1.1842238111038241,AMP,EcoGrader
1.276662001469958,AMP,EcoGrader
1.1129276593466888,AMP,EcoGrader
0.6701797628247417,AMP,EcoGrader
1.0894714522618167,AMP,EcoGrader
1.397915769006109,AMP,EcoGrader
0.7916296420805904,AMP,EcoGrader
0.9551096379016988,AMP,EcoGrader
0.8694539344835088,AMP,EcoGrader
1.5547791185438027,AMP,EcoGrader
1.2016884271037307,AMP,EcoGrader
1.1222385508723332,AMP,EcoGrader
0.7690251776664051,AMP,EcoGrader
1.1617747573875452,AMP,EcoGrader
0.7977002018027872,AMP,EcoGrader
1.0095491674823054,AMP,EcoGrader
0.8092461764863357,AMP,EcoGrader
1.20292998848395,non-AMP,EcoGrader
1.1729772449844822,non-AMP,EcoGrader
0.9375103733266016,non-AMP,EcoGrader
1.1188020137984935,non-AMP,EcoGrader
0.6720815473808484,non-AMP,EcoGrader
0.5526227221883184,non-AMP,EcoGrader
1.131817510379361,non-AMP,EcoGrader
1.0500020486117587,non-AMP,EcoGrader
1.1905094310676319,non-AMP,EcoGrader
1.7149434324591826,non-AMP,EcoGrader
1.2833438460971243,non-AMP,EcoGrader
0.7261533323667524,non-AMP,EcoGrader
1.3351048864287558,non-AMP,EcoGrader
0.6052277768465437,non-AMP,EcoGrader
0.8615246185555874,non-AMP,EcoGrader
1.7727033578701477,AMP,Digital Beacon
2.4853370886597466,AMP,Digital Beacon
1.502098071180624,AMP,Digital Beacon
1.4694245845363942,AMP,Digital Beacon
1.760618990229827,AMP,Digital Beacon
1.534608685455157,AMP,Digital Beacon
2.2506543688426026,AMP,Digital Beacon
1.3680273966546306,AMP,Digital Beacon
1.341012539035559,AMP,Digital Beacon
1.6248719821022264,AMP,Digital Beacon
1.600787019723078,AMP,Digital Beacon
2.5718128215267946,AMP,Digital Beacon
2.1797683227703044,AMP,Digital Beacon
1.8350204965540764,AMP,Digital Beacon
1.3098257924679328,AMP,Digital Beacon
2.137745190560619,AMP,Digital Beacon
1.3999138610441741,AMP,Digital Beacon
1.1820915612889553,AMP,Digital Beacon
2.2752119169409206,AMP,Digital Beacon
1.92677704476994,AMP,Digital Beacon
2.1683435295123274,AMP,Digital Beacon
1.9274910611772085,AMP,Digital Beacon
2.1427322447610764,AMP,Digital Beacon
1.5395897626799413,AMP,Digital Beacon
1.3863028632862142,AMP,Digital Beacon
2.072637807312651,non-AMP,Digital Beacon
1.4786361343304635,non-AMP,Digital Beacon
1.5241800888999197,non-AMP,Digital Beacon
1.6177869985930629,non-AMP,Digital Beacon
1.8069916636100227,non-AMP,Digital Beacon
1.6584024354986064,non-AMP,Digital Beacon
1.2500194826327924,non-AMP,Digital Beacon
1.5425526388668438,non-AMP,Digital Beacon
0.9106387391102293,non-AMP,Digital Beacon
2.050092580410875,non-AMP,Digital Beacon
1.159176937757301,non-AMP,Digital Beacon
1.3582466642286197,non-AMP,Digital Beacon
1.8208660317043899,non-AMP,Digital Beacon
1.5041748014434746,non-AMP,Digital Beacon
2.4172058381626944,non-AMP,Digital Beacon
1.2828572361106207,non-AMP,Digital Beacon
1.9068203477396732,non-AMP,Digital Beacon
1.7842868727090018,non-AMP,Digital Beacon
1.332762600903521,non-AMP,Digital Beacon
2.0093106642127014,non-AMP,Digital Beacon
1.7313814675111008,non-AMP,Digital Beacon
2.108716220485467,non-AMP,Digital Beacon
2.1294016615854927,non-AMP,Digital Beacon
2.665294379712276,non-AMP,Digital Beacon
2.334611179774557,non-AMP,Digital Beacon
